Inits,Part,Answer,Image,Freq
SA,2,0,/Users/abardon/Desktop/cns186_images/buildings/20.jpg,l
SA,2,0,/Users/abardon/Desktop/cns186_images/cars/29.jpg,l
SA,2,1,/Users/abardon/Desktop/cns186_images/people/12.jpg,h
SA,2,0,/Users/abardon/Desktop/cns186_images/cars/19.jpg,l
SA,2,0,/Users/abardon/Desktop/cns186_images/landscapes/36.jpg,l
SA,2,0,/Users/abardon/Desktop/cns186_images/landscapes/13.jpg,l
SA,2,0,/Users/abardon/Desktop/cns186_images/buildings/17.jpg,l
SA,2,1,/Users/abardon/Desktop/cns186_images/animals/18.jpg,l
SA,2,1,/Users/abardon/Desktop/cns186_images/animals/42.jpg,l
SA,2,1,/Users/abardon/Desktop/cns186_images/people/4.jpg,h
SA,2,0,/Users/abardon/Desktop/cns186_images/landscapes/2.jpg,l
SA,2,1,/Users/abardon/Desktop/cns186_images/people/15.jpg,h
SA,2,0,/Users/abardon/Desktop/cns186_images/landscapes/42.jpg,l
SA,2,1,/Users/abardon/Desktop/cns186_images/people/40.jpg,h
SA,2,1,/Users/abardon/Desktop/cns186_images/people/7.jpg,h
SA,2,0,/Users/abardon/Desktop/cns186_images/cars/24.jpg,l
SA,2,1,/Users/abardon/Desktop/cns186_images/people/18.jpg,h
SA,2,0,/Users/abardon/Desktop/cns186_images/cars/22.jpg,l
SA,2,1,/Users/abardon/Desktop/cns186_images/animals/9.jpg,l
SA,2,1,/Users/abardon/Desktop/cns186_images/people/21.jpg,h
SA,2,0,/Users/abardon/Desktop/cns186_images/cars/10.jpg,l
SA,2,1,/Users/abardon/Desktop/cns186_images/landscapes/25.jpg,l
SA,2,1,/Users/abardon/Desktop/cns186_images/people/3.jpg,h
SA,2,0,/Users/abardon/Desktop/cns186_images/cars/21.jpg,l
SA,2,1,/Users/abardon/Desktop/cns186_images/animals/39.jpg,l
SA,2,0,/Users/abardon/Desktop/cns186_images/buildings/13.jpg,l
SA,2,1,/Users/abardon/Desktop/cns186_images/people/32.jpg,h
SA,2,1,/Users/abardon/Desktop/cns186_images/people/31.jpg,h
SA,2,0,/Users/abardon/Desktop/cns186_images/buildings/40.jpg,l
SA,2,1,/Users/abardon/Desktop/cns186_images/people/11.jpg,h
SA,2,0,/Users/abardon/Desktop/cns186_images/buildings/43.jpg,l
SA,2,1,/Users/abardon/Desktop/cns186_images/animals/34.jpg,l
SA,2,1,/Users/abardon/Desktop/cns186_images/people/27.jpg,h
SA,2,0,/Users/abardon/Desktop/cns186_images/cars/25.jpg,l
SA,2,0,/Users/abardon/Desktop/cns186_images/buildings/45.jpg,l
SA,2,0,/Users/abardon/Desktop/cns186_images/buildings/30.jpg,l
SA,2,1,/Users/abardon/Desktop/cns186_images/people/38.jpg,h
SA,2,1,/Users/abardon/Desktop/cns186_images/people/30.jpg,h
SA,2,1,/Users/abardon/Desktop/cns186_images/people/43.jpg,h
SA,4,6,/Users/abardon/Desktop/cns186_images/people/35.jpg,h
SA,4,6,/Users/abardon/Desktop/cns186_images/animals/18.jpg,l
